Subject ID,Subject Age,Subject Gender,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Block,Control Type,Ratio of number of dots,Percentage of dots,Ratio of areas of dot sets (greater to smaller),Color One,Color Two,Response Time,Date/Time,Consecutive Rounds,Key for "Yes" 
43,2,MALE,16,9,YES,YES,yes,0,Inverse Areas,1.7777777777777777,0.64,3.0377500625866176,Blue,Yellow,1.430662072,2015-10-12T15:39:15.430,1,J
43,2,MALE,13,12,YES,YES,yes,0,Inverse Areas,1.0833333333333333,0.52,1.4063750019422985,Blue,Yellow,1.081282613,2015-10-12T15:39:16.856,2,J
43,2,MALE,9,16,NO,YES,no,0,Equal Areas,1.7777777777777777,0.36,1.0000000000000002,Blue,Yellow,2.139816357,2015-10-12T15:39:19.348,3,J
43,2,MALE,14,11,YES,YES,yes,0,Equal Areas,1.2727272727272727,0.56,1.0,Blue,Yellow,1.502356265,2015-10-12T15:39:21.655,4,J
43,2,MALE,14,21,NO,YES,no,0,Equal Areas,1.5,0.4,1.0000000000000002,Blue,Yellow,1.633150391,2015-10-12T15:39:23.668,5,J
43,2,MALE,27,18,YES,YES,yes,0,Inverse Areas,1.5,0.6,1.8865046032274628,Blue,Yellow,1.091060045,2015-10-12T15:39:25.186,6,J
43,2,MALE,12,13,NO,YES,no,0,Inverse Areas,1.0833333333333333,0.48,1.0958436402814677,Blue,Yellow,1.08197538,2015-10-12T15:39:26.578,7,J
43,2,MALE,30,20,YES,YES,yes,0,Inverse Areas,1.5,0.6,2.342676397956954,Blue,Yellow,1.132698809,2015-10-12T15:39:28.129,8,J
43,2,MALE,13,12,YES,NO,no,0,Equal Areas,1.0833333333333333,0.52,1.0000000000000002,Blue,Yellow,1.027918969,2015-10-12T15:39:29.504,9,J
43,2,MALE,20,30,NO,YES,no,0,Inverse Areas,1.5,0.4,2.4654775749726583,Blue,Yellow,4.170751003,2015-10-12T15:39:34.197,10,J
43,2,MALE,14,11,YES,YES,yes,0,Inverse Areas,1.2727272727272727,0.56,1.369239151438773,Blue,Yellow,1.313202443,2015-10-12T15:39:35.853,11,J
43,2,MALE,12,13,NO,YES,no,0,Equal Areas,1.0833333333333333,0.48,1.0000000000000004,Blue,Yellow,1.206563247,2015-10-12T15:39:37.363,12,J
43,2,MALE,16,9,YES,NO,no,0,Inverse Areas,1.7777777777777777,0.64,3.5346516965597212,Blue,Yellow,1.270098177,2015-10-12T15:39:38.950,13,J
43,2,MALE,11,14,NO,YES,no,0,Equal Areas,1.2727272727272727,0.44,1.0,Blue,Yellow,3.072132518,2015-10-12T15:39:42.401,14,J
43,2,MALE,9,16,NO,YES,no,0,Equal Areas,1.7777777777777777,0.36,1.0,Blue,Yellow,1.109698065,2015-10-12T15:39:44.082,15,J
43,2,MALE,14,11,YES,NO,no,0,Inverse Areas,1.2727272727272727,0.56,1.0929358306415498,Blue,Yellow,1.093097724,2015-10-12T15:39:45.504,16,J
43,2,MALE,16,9,YES,YES,yes,0,Inverse Areas,1.7777777777777777,0.64,2.672514177693763,Blue,Yellow,1.161998609,2015-10-12T15:39:47.008,17,J
43,2,MALE,13,12,YES,NO,no,0,Inverse Areas,1.0833333333333333,0.52,1.0907298463766675,Blue,Yellow,1.579179934,2015-10-12T15:39:48.896,18,J
43,2,MALE,14,21,NO,YES,no,0,Equal Areas,1.5,0.4,1.0000000000000002,Blue,Yellow,1.66815398,2015-10-12T15:39:50.882,19,J
43,2,MALE,21,14,YES,YES,yes,0,Inverse Areas,1.5,0.6,2.7027359999999985,Blue,Yellow,2.900876052,2015-10-12T15:39:54.095,20,J
43,2,MALE,21,4,YES,NO,no,3,Equal Areas,5.25,0.84,1.0000000000000002,Green,Red,0.999676281,2015-10-12T15:39:59.240,21,J
43,2,MALE,27,3,YES,YES,yes,3,Equal Areas,9.0,0.9,1.0000000000000002,Green,Red,0.653616119,2015-10-12T15:40:00.455,22,J
43,2,MALE,12,8,NO,YES,no,3,Inverse Areas,1.5,0.6,2.2861723445518276,Green,Red,0.651253012,2015-10-12T15:40:01.787,23,J
43,2,MALE,24,1,YES,YES,yes,3,Equal Areas,24.0,0.96,1.0,Green,Red,0.624471124,2015-10-12T15:40:04.539,24,J
43,2,MALE,32,16,NO,YES,no,3,Inverse Areas,2.0,0.6666666666666666,3.942935798750587,Green,Red,0.571632614,2015-10-12T15:40:05.694,25,J
43,2,MALE,21,18,NO,YES,no,3,Equal Areas,1.1666666666666667,0.5384615384615384,1.0000000000000007,Green,Red,0.658929904,2015-10-12T15:40:06.622,26,J
43,2,MALE,18,7,NO,YES,no,3,Inverse Areas,2.5714285714285716,0.72,11.144445616239244,Green,Red,4.749275802,2015-10-12T15:40:11.636,27,J
43,23,MALE,12,18,NO,NO,yes,1,Equal Areas,1.5,0.4,1.0000000000000002,Purple,Orange,1.266290092,2015-10-12T15:44:12.811,1,F
43,23,MALE,9,16,NO,NO,yes,1,Equal Areas,1.7777777777777777,0.36,1.0,Purple,Orange,1.227346708,2015-10-12T15:44:14.428,2,F
43,23,MALE,33,22,YES,NO,no,1,Inverse Areas,1.5,0.6,2.368575716194279,Purple,Orange,1.125128825,2015-10-12T15:44:15.866,3,F
43,23,MALE,16,9,YES,NO,no,1,Inverse Areas,1.7777777777777777,0.64,3.1695392043951163,Purple,Orange,1.177275849,2015-10-12T15:44:17.305,4,F
43,23,MALE,13,12,YES,NO,no,1,Equal Areas,1.0833333333333333,0.52,1.0000000000000002,Purple,Orange,1.104442438,2015-10-12T15:44:18.690,5,F
43,23,MALE,14,11,YES,NO,no,1,Equal Areas,1.2727272727272727,0.56,1.0000000000000002,Purple,Orange,1.194981197,2015-10-12T15:44:20.179,6,F
43,23,MALE,11,14,NO,NO,yes,1,Equal Areas,1.2727272727272727,0.44,1.0,Purple,Orange,1.282240428,2015-10-12T15:44:21.686,7,F
43,23,MALE,12,13,NO,NO,yes,1,Inverse Areas,1.0833333333333333,0.48,1.087901401486185,Purple,Orange,1.202992073,2015-10-12T15:44:23.182,8,F
43,23,MALE,14,21,NO,NO,yes,1,Equal Areas,1.5,0.4,1.0000000000000002,Purple,Orange,1.183503489,2015-10-12T15:44:24.610,9,F
43,23,MALE,13,12,YES,NO,no,1,Equal Areas,1.0833333333333333,0.52,1.0,Purple,Orange,8.564022432,2015-10-12T15:44:33.483,10,F
43,23,MALE,16,9,YES,NO,no,1,Equal Areas,1.7777777777777777,0.64,1.0,Purple,Orange,1.199091619,2015-10-12T15:44:35.373,11,F
43,23,MALE,11,14,NO,NO,yes,1,Inverse Areas,1.2727272727272727,0.44,1.5180936505641105,Purple,Orange,1.156562949,2015-10-12T15:44:37.043,12,F
43,23,MALE,9,16,NO,NO,yes,1,Inverse Areas,1.7777777777777777,0.36,3.8173831392912914,Purple,Orange,1.14234838,2015-10-12T15:44:38.520,13,F
43,23,MALE,14,11,YES,NO,no,1,Equal Areas,1.2727272727272727,0.56,1.0000000000000002,Purple,Orange,1.119770994,2015-10-12T15:44:39.917,14,F
43,23,MALE,12,13,NO,NO,yes,1,Inverse Areas,1.0833333333333333,0.48,1.1841151762722575,Purple,Orange,1.071464554,2015-10-12T15:44:41.298,15,F
43,23,MALE,12,8,YES,NO,no,1,Equal Areas,1.5,0.6,1.0000000000000002,Purple,Orange,0.993245514,2015-10-12T15:44:42.450,16,F
43,23,MALE,13,12,YES,NO,no,1,Inverse Areas,1.0833333333333333,0.52,1.0581226823686893,Purple,Orange,1.069123683,2015-10-12T15:44:43.672,17,F
43,23,MALE,11,14,NO,NO,yes,1,Inverse Areas,1.2727272727272727,0.44,2.186648741645555,Purple,Orange,1.069253257,2015-10-12T15:44:44.887,18,F
43,23,MALE,21,14,YES,NO,no,1,Equal Areas,1.5,0.6,1.0000000000000002,Purple,Orange,1.038768481,2015-10-12T15:44:46.176,19,F
43,23,MALE,14,11,YES,NO,no,1,Inverse Areas,1.2727272727272727,0.56,1.7672812400756135,Purple,Orange,1.079443784,2015-10-12T15:44:47.419,20,F
